Camera_ID,Date,Time,Count
KL,2025-05-19,1:36:00 AM,2
OZ,2025-05-19,4:00:00 AM,1
VK,2025-05-19,5:08:00 AM,1
OB,2025-05-19,5:45:00 AM,1
OZ,2025-05-20,4:54:00 AM,2
IS,2025-05-20,4:57:00 AM,2
OB,2025-05-20,5:04:00 AM,2
ZD,2025-05-20,5:34:00 AM,2
KL,2025-05-21,3:01:00 AM,2
OB,2025-05-21,9:46:00 PM,1
VK,2025-05-21,10:40:00 PM,1
KL,2025-05-22,4:31:00 AM,1
OR,2025-05-24,6:02:00 AM,3
OR,2025-05-24,6:04:00 AM,3
VK,2025-05-25,11:05:00 PM,1
OB,2025-05-26,4:39:00 AM,2
OR,2025-05-26,4:57:00 AM,2
OR,2025-05-26,4:58:00 AM,2
ZD,2025-05-26,5:14:00 AM,1
VK,2025-05-26,5:35:00 AM,2
VK,2025-05-26,5:35:00 AM,2
KL,2025-05-26,7:58:00 AM,1
OR,2025-05-28,4:23:00 AM,1
OR,2025-05-28,4:24:00 AM,1
OR,2025-05-28,11:41:00 PM,1
ZD,2025-05-29,7:17:00 AM,1
VK,2025-05-29,10:23:00 PM,1
VS,2025-05-29,11:19:00 PM,1
VS,2025-05-29,11:20:00 PM,1
VS,2025-05-29,11:21:00 PM,1
VS,2025-05-29,11:21:00 PM,1
OR,2025-05-30,1:22:00 AM,1
OB,2025-05-30,2:41:00 AM,3
OR,2025-05-30,2:48:00 AM,3
OR,2025-05-30,2:49:00 AM,3
OR,2025-05-30,2:50:00 AM,3
VK,2025-05-30,3:37:00 AM,3
VS,2025-05-31,12:16:00 AM,1
OR,2025-05-31,2:29:00 AM,2
OR,2025-05-31,2:29:00 AM,2
OR,2025-05-31,2:31:00 AM,2
OR,2025-05-31,2:32:00 AM,2
VS,2025-06-01,12:47:00 AM,1
VK,2025-06-01,2:39:00 AM,1
VS,2025-06-01,2:41:00 AM,1
OB,2025-06-01,9:43:00 PM,1
VK,2025-06-01,10:39:00 PM,1
VS,2025-06-02,2:37:00 AM,2
OB,2025-06-02,3:25:00 AM,3
OR,2025-06-02,3:27:00 AM,4
ZD,2025-06-02,3:56:00 AM,1
ZD,2025-06-02,3:57:00 AM,1
ZD,2025-06-02,3:58:00 AM,4
OB,2025-06-02,4:20:00 AM,1
VK,2025-06-02,4:21:00 AM,4
VK,2025-06-02,5:17:00 AM,1
BW,2025-06-02,10:22:00 PM,1
VK,2025-06-03,1:58:00 AM,1
VS,2025-06-03,3:39:00 AM,1
VS,2025-06-03,11:04:00 PM,1
VS,2025-06-04,12:29:00 AM,1
OB,2025-06-04,2:19:00 AM,2
OR,2025-06-04,2:25:00 AM,3
OR,2025-06-04,2:26:00 AM,3
OR,2025-06-04,2:27:00 AM,3
OR,2025-06-04,2:28:00 AM,3
ZD,2025-06-04,2:51:00 AM,2
VK,2025-06-04,3:15:00 AM,3
KK,2025-06-04,3:58:00 AM,1
KL,2025-06-04,6:46:00 AM,1
KK,2025-06-06,12:54:00 AM,1
VS,2025-06-06,4:01:00 AM,1
VS,2025-06-07,1:55:00 AM,1
VK,2025-06-07,3:37:00 AM,2
VK,2025-06-07,6:06:00 AM,1
VS,2025-06-07,10:02:00 AM,1
OR,2025-06-07,11:00:00 AM,1
KK,2025-06-07,10:56:00 PM,1
VS,2025-06-08,2:54:00 AM,2
DD,2025-06-08,3:00:00 AM,2
KP,2025-06-08,4:25:00 AM,1
VS,2025-06-08,5:18:00 AM,1
DWVS,2025-06-08,11:33:00 PM,1
VS,2025-06-08,11:34:00 PM,1
KK,2025-06-08,11:48:00 PM,1
KK,2025-06-09,12:01:00 AM,1
DWVS,2025-06-09,12:31:00 AM,1
VS,2025-06-09,3:31:00 AM,1
DWVS,2025-06-10,1:31:00 AM,1
VS,2025-06-10,1:34:00 AM,1
KK,2025-06-10,1:52:00 AM,1
VK,2025-06-10,4:07:00 AM,2
DWVS,2025-06-11,12:19:00 AM,1
HW,2025-06-12,2:29:00 AM,2
